ville,pays,region,geonameid
Wuma,China,Chongqing,8399050
Fengping,China,Chongqing,8399052
Qinglian,China,Chongqing,8399478
Heqian,China,Chongqing,8400052
Maliu,China,Chongqing,8400053
Heyan,China,Chongqing,8400054
Guojia,China,Chongqing,8400056
Baihe,China,Chongqing,8400057
Dunhao,China,Chongqing,8400058
Gaoqiao,China,Chongqing,8400059
Yihe,China,Chongqing,8400137
Jiulongshan,China,Chongqing,8400138
Zhen’an,China,Chongqing,8400139
Dade,China,Chongqing,8400140
Fengle,China,Chongqing,8400141
Zhendong,China,Chongqing,8400142
Houba,China,Chongqing,8400143
Changsha,China,Chongqing,8400146
Nanmen,China,Chongqing,8400147
Wushan,China,Chongqing,8400149
Nanya,China,Chongqing,8400150
Zhuxi,China,Chongqing,8400151
Houshan,China,Chongqing,8403605
Lihe,China,Chongqing,8403607
Xiongjia,China,Chongqing,8403609
Tiancheng,China,Chongqing,8403610
Zhoujiaba,China,Chongqing,8403611
Taibai,China,Chongqing,8403612
Gaoliang,China,Chongqing,8403613
Zhonggulou,China,Chongqing,8403614
Jiuchi,China,Chongqing,8403615
Pailou,China,Chongqing,8403616
Chenjiaba,China,Chongqing,8403617
Bai’anba,China,Chongqing,8403618
Shuanghekou,China,Chongqing,8403619
Zhushan,China,Chongqing,8403620
Danzi,China,Chongqing,8403846
Changtan,China,Chongqing,8403867
Tai’an,China,Chongqing,8403868
Luotian,China,Chongqing,8403872
Guocun,China,Chongqing,8403877
Longsha,China,Chongqing,8403881
Ganning,China,Chongqing,8403882
Gaofeng,China,Chongqing,8403883
Linxi,China,Chongqing,8404735
Xialu,China,Chongqing,8404770
Caohui,China,Chongqing,8405691
Xinmin,China,Chongqing,8405692
Changlong,China,Chongqing,8405693
Yong’an,China,Chongqing,8405694
Pushun,China,Chongqing,8405695
Gangjia,China,Chongqing,8405696
Gaofeng,China,Chongqing,8405699
Pingshan,China,Chongqing,8405701
Baijia,China,Chongqing,8405703
Panlong,China,Chongqing,8405713
Yinping,China,Chongqing,8405715
Jukui,China,Chongqing,8405717
Bishan,China,Chongqing,8405721
Huilong,China,Chongqing,8405722
Mingda,China,Chongqing,8405727
Lirang,China,Chongqing,8405728
Hucheng,China,Chongqing,8405731
Xinsheng,China,Chongqing,8405732
Hexing,China,Chongqing,8405736
Baohe,China,Chongqing,8406198
Dongjia,China,Chongqing,8406200
Shizhi,China,Chongqing,8406204
Huwei,China,Chongqing,8406205
Sanhe,China,Chongqing,8406214
Xingyi,China,Chongqing,8406218
Longkong,China,Chongqing,8406221
Longhe,China,Chongqing,8406223
Qingxichang,China,Chongqing,8406649
Pingkai,China,Chongqing,8406650
Zhongling,China,Chongqing,8406675
Erong,China,Chongqing,8406677
Guanzhuang,China,Chongqing,8406686
Wanmu,China,Chongqing,8407506
Tonggu,China,Chongqing,8407510
Apengjiang,China,Chongqing,8407595
Qianjiang,China,Chongqing,8408334
Zhoubai,China,Chongqing,8408335
Dianshui,China,Chongqing,8408394
Sanhe,China,Chongqing,8408551
Xintian,China,Chongqing,8408661
Longshe,China,Chongqing,8409070
Lianhu,China,Chongqing,8409075
Tongle,China,Chongqing,8416210
Zengfu,China,Chongqing,8416213
Longqiao,China,Chongqing,8416217
Lizhi,China,Chongqing,8416218
Nantuo,China,Chongqing,8416236
Qingxi,China,Chongqing,8416237
Baisheng,China,Chongqing,8416240
Yihe,China,Chongqing,8416247
Yunji,China,Chongqing,8416620
Changshouhu,China,Chongqing,8416622
Haitang,China,Chongqing,8416623
Shiyan,China,Chongqing,8416624
Longhe,China,Chongqing,8416625
Fengcheng,China,Chongqing,8416626
Jiangnan,China,Chongqing,8416627
Bake,China,Chongqing,8416628
Dawan,China,Chongqing,8416813
Gulu,China,Chongqing,8416814
Lijia,China,Chongqing,8416930
Shuangfengqiao,China,Chongqing,8416931
Huixing,China,Chongqing,8416933
Cuiyun,China,Chongqing,8416934
Wangjia,China,Chongqing,8416968
Tianfu,China,Chongqing,8417103
Fuxing,China,Chongqing,8417104
Dongyang,China,Chongqing,8417106
Longfeng,China,Chongqing,8417108
Shuanghuai,China,Chongqing,8417530
Shuangfeng,China,Chongqing,8417531
Shitan,China,Chongqing,8417532
Xiaojia,China,Chongqing,8417533
Laitan,China,Chongqing,8417596
Qiantang,China,Chongqing,8417598
Dashi,China,Chongqing,8417599
Gulou,China,Chongqing,8417600
Yanwo,China,Chongqing,8417601
Erlang,China,Chongqing,8417602
Longfeng,China,Chongqing,8417603
Longxing,China,Chongqing,8417604
Yangcheng,China,Chongqing,8417605
Diaoyucheng,China,Chongqing,8417606
Nanjin,China,Chongqing,8417607
Baoding,China,Chongqing,8418557
Zhifeng,China,Chongqing,8418559
Shiwan,China,Chongqing,8418560
Yulong,China,Chongqing,8418561
Shuanglu,China,Chongqing,8418584
Tangxiang,China,Chongqing,8418585
Guchang,China,Chongqing,8418774
Shenglilu,China,Chongqing,8419424
Nandajie,China,Chongqing,8419425
Shaoyun,China,Chongqing,8419799
Qinggang,China,Chongqing,8420195
Jianlong,China,Chongqing,8420197
Shuangfu,China,Chongqing,8421327
Zhiping,China,Chongqing,8421919
Nanchuan,China,Chongqing,8544703
Anwen,China,Chongqing,8549392
Datong,China,Chongqing,8549394
Guanba,China,Chongqing,8549410
Nantong,China,Chongqing,8549414
Maliuzui,China,Chongqing,8549445
Sansheng,China,Chongqing,10315178
Wulong,China,Chongqing,12110889
Wanzhou,China,Chongqing,12358576
Zhuyi,China,Chongqing,12358614
Dongwenquan,China,Chongqing,12450883
Jieshi,China,Chongqing,12450884
Qitang,China,Chongqing,12450886
Shuanglonghu,China,Chongqing,12450887
Jiaping,China,Chongqing,12450916
Xihu,China,Chongqing,12450949
Zhongshan,China,Chongqing,12450950
Mingshan,China,Chongqing,12450984
Caojie,China,Chongqing,12489669
Liangping,China,Chongqing,12489673
Xinglong,China,Chongqing,12489685
Fuhuan,China,Chongqing,12489793
Qingnian,China,Chongqing,12489814
Shihao,China,Chongqing,12489815
Yongcheng,China,Chongqing,12489817
Zhuantang,China,Chongqing,12489819
Tianjia,China,Chongqing,12492805
Changling,China,Chongqing,12493241
Weixinghu,China,Chongqing,12495683
Zhuhai,China,Chongqing,12495684
Juigalpa,Nicaragua,Chontales Department,3618908
Trelew,Argentina,Chubut,3833883
Rawson,Argentina,Chubut,3839307
Puerto Madryn,Argentina,Chubut,3840092
Esquel,Argentina,Chubut,3855974
Comodoro Rivadavia,Argentina,Chubut,3860443
Phuntsholing,Bhutan,Chukha,1252484
Anadyr,Russia,Chukotka,2127202
Lang Suan,Thailand,Chumphon,1152432
Chumphon,Thailand,Chumphon,1153557
Yesan,South Korea,Chungcheongnam-do,1832771
Tangjin,South Korea,Chungcheongnam-do,1834885
Taesal-li,South Korea,Chungcheongnam-do,1835096
Boryeong,South Korea,Chungcheongnam-do,1835447
Seosan,South Korea,Chungcheongnam-do,1835895
Seonghwan,South Korea,Chungcheongnam-do,1836208
Buyeo,South Korea,Chungcheongnam-do,1838508
Asan,South Korea,Chungcheongnam-do,1839726
Nonsan,South Korea,Chungcheongnam-do,1840211
Kinzan,South Korea,Chungcheongnam-do,1842153
Gongju,South Korea,Chungcheongnam-do,1842616
Hongseong,South Korea,Chungcheongnam-do,1844174
Cheonan,South Korea,Chungcheongnam-do,1845759
Yŏnmu,South Korea,Chungcheongnam-do,1886598
Sucre,Bolivia,Chuquisaca Department,3903987
Shumerlya,Russia,Chuvashia,493463
Novocheboksarsk,Russia,Chuvashia,518976
Kanash,Russia,Chuvashia,553216
Cheboksary,Russia,Chuvashia,569696
Alatyr’,Russia,Chuvashia,583437
Tokmok,Kyrgyzstan,Chüy,1527199
Lebedinovka,Kyrgyzstan,Chüy,1527690
Kara-Balta,Kyrgyzstan,Chüy,1528182
Kant,Kyrgyzstan,Chüy,1528193
Ivanovka,Kyrgyzstan,Chüy,1528252
Belovodskoye,Kyrgyzstan,Chüy,1528702
Venezuela,Cuba,Ciego de Ávila Province,3534432
Primero de Enero,Cuba,Ciego de Ávila Province,3543498
Morón,Cuba,Ciego de Ávila Province,3546434
Florencia,Cuba,Ciego de Ávila Province,3558792
Ciro Redondo,Cuba,Ciego de Ávila Province,3564084
Ciego de Ávila,Cuba,Ciego de Ávila Province,3564178
Chambas,Cuba,Ciego de Ávila Province,3564394
Baraguá,Cuba,Ciego de Ávila Province,3567823
Rodas,Cuba,Cienfuegos Province,3541999
Palmira,Cuba,Cienfuegos Province,3545040
Lajas,Cuba,Cienfuegos Province,3553343
Cumanayagua,Cuba,Cienfuegos Province,3562827
Cruces,Cuba,Cienfuegos Province,3563145
Cienfuegos,Cuba,Cienfuegos Province,3564124
Aguada de Pasajeros,Cuba,Cienfuegos Province,3569546
Abreus,Cuba,Cienfuegos Province,3569741
Francistown,Botswana,City of Francistown,933778
Zagreb,Croatia,City of Zagreb,3186886
Sesvete,Croatia,City of Zagreb,3190966
Centar,Croatia,City of Zagreb,6618983
May Pen,Jamaica,Clarendon,3489523
Turda,Romania,Cluj,664460
Gherla,Romania,Cluj,677429
Dej,Romania,Cluj,679550
Cluj-Napoca,Romania,Cluj,681290
Câmpia Turzii,Romania,Cluj,681865
Frontera,Mexico,Coahuila,3980180
Torreón,Mexico,Coahuila,3981254
San Pedro,Mexico,Coahuila,3985035
San Pedro,Mexico,Coahuila,3985129
San Buenaventura,Mexico,Coahuila,3987500
Saltillo,Mexico,Coahuila,3988086
Sabinas,Mexico,Coahuila,3988333
Ramos Arizpe,Mexico,Coahuila,3991043
Piedras Negras,Mexico,Coahuila,3992619
Parras de la Fuente,Mexico,Coahuila,3993335
Palau,Mexico,Coahuila,3993893
Nueva Rosita,Mexico,Coahuila,3994667
Nava,Mexico,Coahuila,3995050
Monclova,Mexico,Coahuila,3995523
Ciudad Melchor Múzquiz,Mexico,Coahuila,3996271
Matamoros,Mexico,Coahuila,3996426
Francisco I. Madero,Mexico,Coahuila,4006194
Ciudad Acuña,Mexico,Coahuila,4013728
Castaños,Mexico,Coahuila,4015022
Allende,Mexico,Coahuila,4018761
Vinto,Bolivia,Cochabamba,3901435
Tiquipaya,Bolivia,Cochabamba,3902949
Sipe Sipe,Bolivia,Cochabamba,3904221
Sacaba,Bolivia,Cochabamba,3906194
Quillacollo,Bolivia,Cochabamba,3906791
Punata,Bolivia,Cochabamba,3907080
Mizque,Bolivia,Cochabamba,3910291
Colcapirhua,Bolivia,Cochabamba,3919902
Cochabamba,Bolivia,Cochabamba,3919968
Penonomé,Panama,Coclé,3703068
Santo António dos Olivais,Portugal,Coimbra,2734585
Figueira da Foz,Portugal,Coimbra,2739590
Condeixa-a-Nova,Portugal,Coimbra,2740593
Coimbra,Portugal,Coimbra,2740637
Tinaquillo,Venezuela,Cojedes,3626219
Tinaco,Venezuela,Cojedes,3626235
San Carlos,Venezuela,Cojedes,3628503
Las Vegas,Venezuela,Cojedes,3635260
El Pao,Venezuela,Cojedes,3642260
Ciudad de Villa de Álvarez,Mexico,Colima,3980194
Tecomán,Mexico,Colima,3982213
Manzanillo,Mexico,Colima,3996663
Colima,Mexico,Colima,4013516
Ciudad de Armería,Mexico,Colima,4018227
Savé,Benin,Collines,2391893
Savalou,Benin,Collines,2391895
Dassa-Zoumé,Benin,Collines,2394711
Comé,Benin,Collines,2394824
Colonia del Sacramento,Uruguay,Colonia,3443013
Carmelo,Uruguay,Colonia,3443341
Arvada,United States,Colorado,5412199
Aurora,United States,Colorado,5412347
Brighton,United States,Colorado,5414941
Broomfield,United States,Colorado,5415035
Cañon City,United States,Colorado,5416005
Castle Rock,United States,Colorado,5416329
Castlewood,United States,Colorado,5416357
Centennial,United States,Colorado,5416541
Cimarron Hills,United States,Colorado,5417041
Clifton,United States,Colorado,5417258
Colorado Springs,United States,Colorado,5417598
Columbine,United States,Colorado,5417657
Commerce City,United States,Colorado,5417737
Denver,United States,Colorado,5419384
Durango,United States,Colorado,5420241
Englewood,United States,Colorado,5421250
Fountain,United States,Colorado,5422191
Golden,United States,Colorado,5423294
Grand Junction,United States,Colorado,5423573
Greenwood Village,United States,Colorado,5423908
Highlands Ranch,United States,Colorado,5425043
Ken Caryl,United States,Colorado,5427207
Lafayette,United States,Colorado,5427771
Lakewood,United States,Colorado,5427946
Littleton,United States,Colorado,5429032
Louisville,United States,Colorado,5429522
Montrose,United States,Colorado,5431710
Northglenn,United States,Colorado,5433124
Parker,United States,Colorado,5434006
Pueblo,United States,Colorado,5435464
Pueblo West,United States,Colorado,5435477
Sherrelwood,United States,Colorado,5438567
Southglenn,United States,Colorado,5439752
Thornton,United States,Colorado,5441492
Westminster,United States,Colorado,5443910
Wheat Ridge,United States,Colorado,5443948
Boulder,United States,Colorado,5574991
Erie,United States,Colorado,5576859
Evans,United States,Colorado,5576909
Fort Collins,United States,Colorado,5577147
Greeley,United States,Colorado,5577592
Longmont,United States,Colorado,5579276
Loveland,United States,Colorado,5579368
Windsor,United States,Colorado,5583509
Security-Widefield,United States,Colorado,7262349
Sabanitas,Panama,Colón,3701682
Colón,Panama,Colón,3712076
Cativá,Panama,Colón,3712884
Tocoa,Honduras,Colón Department,3600704
Siguatepeque,Honduras,Comayagua Department,3601311
Comayagua,Honduras,Comayagua Department,3613321
Grand-Bassam,Ivory Coast,Comoé,2288115
Bonoua,Ivory Coast,Comoé,2291087
Agnibilékrou,Ivory Coast,Comoé,2293260
Adiaké,Ivory Coast,Comoé,2293428
Aboisso,Ivory Coast,Comoé,2293507
Abengourou,Ivory Coast,Comoé,2293549
Conakry,Guinea,Conakry,2422465
Camayenne,Guinea,Conakry,2422488
Concepción,Paraguay,Concepción,3438834
Sligo,Ireland,Connacht,2961423
Galway,Ireland,Connacht,2964180
Danbury,United States,Connecticut,4832353
Darien,United States,Connecticut,4832425
East Hartford,United States,Connecticut,4833403
East Haven,United States,Connecticut,4833425
East Norwalk,United States,Connecticut,4833505
Enfield,United States,Connecticut,4834040
Fairfield,United States,Connecticut,4834157
Farmington,United States,Connecticut,4834272
Glastonbury,United States,Connecticut,4835003
Guilford,United States,Connecticut,4835512
Hamden,United States,Connecticut,4835654
Hartford,United States,Connecticut,4835797
Killingly Center,United States,Connecticut,4837278
Ledyard,United States,Connecticut,4837648
Madison,United States,Connecticut,4838116
Manchester,United States,Connecticut,4838174
Mansfield City,United States,Connecticut,4838204
Meriden,United States,Connecticut,4838524
Middletown,United States,Connecticut,4838633
Milford,United States,Connecticut,4838652
Montville Center,United States,Connecticut,4838887
Naugatuck,United States,Connecticut,4839222
New Britain,United States,Connecticut,4839292
New Canaan,United States,Connecticut,4839319
New Haven,United States,Connecticut,4839366
New London,United States,Connecticut,4839416
Newington,United States,Connecticut,4839497
North Haven,United States,Connecticut,4839704
North Stamford,United States,Connecticut,4839745
Norwalk,United States,Connecticut,4839822
Norwich,United States,Connecticut,4839843
Plainfield,United States,Connecticut,4840755
Plainville,United States,Connecticut,4840767
Seymour,United States,Connecticut,4842818
Shelton,United States,Connecticut,4842898
South Windsor,United States,Connecticut,4843353
Southbury,United States,Connecticut,4843362
Stamford,United States,Connecticut,4843564
Storrs,United States,Connecticut,4843786
Stratford,United States,Connecticut,4843811
Torrington,United States,Connecticut,4844309
Trumbull,United States,Connecticut,4844459
Wallingford,United States,Connecticut,4845056
Waterbury,United States,Connecticut,4845193
West Hartford,United States,Connecticut,4845411
West Haven,United States,Connecticut,4845419
West Torrington,United States,Connecticut,4845519
Westport,United States,Connecticut,4845585
Wethersfield,United States,Connecticut,4845612
Willimantic,United States,Connecticut,4845823
Wilton,United States,Connecticut,4845871
Windham,United States,Connecticut,4845898
Windsor,United States,Connecticut,4845920
Wolcott,United States,Connecticut,4845984
Ansonia,United States,Connecticut,5281551
Bloomfield,United States,Connecticut,5282526
Bridgeport,United States,Connecticut,5282804
Bristol,United States,Connecticut,5282835
Branford,United States,Connecticut,5283054
Cheshire,United States,Connecticut,5283837
City of Milford (balance),United States,Connecticut,7160204
Wallingford Center,United States,Connecticut,7257422
Waterford,United States,Connecticut,8480031
Hamma Bouziane,Algeria,Constantine,2494610
El Khroub,Algeria,Constantine,2497849
Didouche Mourad,Algeria,Constantine,2500401
Constantine,Algeria,Constantine,2501152
Aïn Smara,Algeria,Constantine,2507926
’Aïn Abid,Algeria,Constantine,2508309
Năvodari,Romania,Constanța,672486
Medgidia,Romania,Constanța,673636
Mangalia,Romania,Constanța,673921
Constanţa,Romania,Constanța,680963
Cernavodă,Romania,Constanța,682321
Ndola,Zambia,Copperbelt,901344
Mufulira,Zambia,Copperbelt,905395
Luanshya,Zambia,Copperbelt,909863
Kitwe,Zambia,Copperbelt,911148
Kalulushi,Zambia,Copperbelt,914959
Chingola,Zambia,Copperbelt,919009
Chililabombwe,Zambia,Copperbelt,919544
Santa Rosa de Copán,Honduras,Copán Department,3601494
Ovalle,Chile,Coquimbo Region,3877918
La Serena,Chile,Coquimbo Region,3884373
Illapel,Chile,Coquimbo Region,3887344
Coquimbo,Chile,Coquimbo Region,3893629
Tabuk,Philippines,Cordillera,1684803
Mankayan,Philippines,Cordillera,1702002
La Trinidad,Philippines,Cordillera,1707123
Itogon,Philippines,Cordillera,1710441
Baguio,Philippines,Cordillera,1728930
Caacupé,Paraguay,Cordillera,3439320
Villa Nueva,Argentina,Cordoba,3832662
Villa María,Argentina,Cordoba,3832694
Villa Dolores,Argentina,Cordoba,3832756
Villa Carlos Paz,Argentina,Cordoba,3832791
Villa Allende,Argentina,Cordoba,3832815
Unquillo,Argentina,Cordoba,3833412
San Francisco,Argentina,Cordoba,3837675
Río Tercero,Argentina,Cordoba,3838793
Río Segundo,Argentina,Cordoba,3838797
Río Cuarto,Argentina,Cordoba,3838874
Río Ceballos,Argentina,Cordoba,3838902
Morteros,Argentina,Cordoba,3843619
Marcos Juárez,Argentina,Cordoba,3844899
La Falda,Argentina,Cordoba,3851331
La Calera,Argentina,Cordoba,3852374
Laboulaye,Argentina,Cordoba,3852468
Jesús María,Argentina,Cordoba,3853510
Embalse,Argentina,Cordoba,3856235
Deán Funes,Argentina,Cordoba,3859512
Cruz del Eje,Argentina,Cordoba,3859828
Cosquín,Argentina,Cordoba,3859965
Córdoba,Argentina,Cordoba,3860259
Bell Ville,Argentina,Cordoba,3864331
Arroyito,Argentina,Cordoba,3865424
Alta Gracia,Argentina,Cordoba,3866163
Santo Tomé,Argentina,Corrientes,3428071
San Luis del Palmar,Argentina,Corrientes,3428708
San Lorenzo,Argentina,Corrientes,3428759
Saladas,Argentina,Corrientes,3429403
Paso de los Libres,Argentina,Corrientes,3430104
Monte Caseros,Argentina,Corrientes,3430598
Mercedes,Argentina,Corrientes,3430709
Goya,Argentina,Corrientes,3433715
Gobernador Virasora,Argentina,Corrientes,3433753
Esquina,Argentina,Corrientes,3434095
Curuzú Cuatiá,Argentina,Corrientes,3435103
Corrientes,Argentina,Corrientes,3435217
Bastia,France,Corsica,3034640
Ajaccio,France,Corsica,3038334
Puerto Cortez,Honduras,Cortés Department,3600026
Villanueva,Honduras,Cortés Department,3600327
San Pedro Sula,Honduras,Cortés Department,3601782
Potrerillos,Honduras,Cortés Department,3603330
La Lima,Honduras,Cortés Department,3607511
Cofradía,Honduras,Cortés Department,3613394
Choloma,Honduras,Cortés Department,3613533
Pujilí,Ecuador,Cotopaxi,3652684
Latacunga,Ecuador,Cotopaxi,3654870
La Maná,Ecuador,Cotopaxi,3655117
Koprivnica,Croatia,County of Koprivnica-Križevci,3197728
Čakovec,Croatia,County of Međimurje,3202888
Osijek,Croatia,County of Osijek-Baranja,3193935
Đakovo,Croatia,County of Osijek-Baranja,3202220
Požega,Croatia,County of Požega-Slavonia,3190589
Rijeka,Croatia,County of Primorje-Gorski Kotar,3191648
Sisak,Croatia,County of Sisak-Moslavina,3190813
Varaždin,Croatia,County of Varaždin,3188383
Zadar,Croatia,County of Zadar,3186952
Zaprešić,Croatia,County of Zagreb,3186781
Velika Gorica,Croatia,County of Zagreb,3188244
Samobor,Croatia,County of Zagreb,3191316
Suai,Timor Leste,Cova Lima,1626459
Târgu Secuiesc,Romania,Covasna,665000
Sfântu Gheorghe,Romania,Covasna,667303
Rethymno,Greece,Crete,254352
Chaniá,Greece,Crete,260114
Irákleion,Greece,Crete,261745
Yevpatoriya,Ukraine,Crimea,688105
Yalta,Ukraine,Crimea,688533
Sudak,Ukraine,Crimea,692315
Simferopol,Ukraine,Crimea,693805
Saki,Ukraine,Crimea,694910
Yany Kapu,Ukraine,Crimea,704362
Kerch,Ukraine,Crimea,706524
Feodosiya,Ukraine,Crimea,709161
Dzhankoi,Ukraine,Crimea,709334
Bilohirsk,Ukraine,Crimea,712587
Bakhchysarai,Ukraine,Crimea,712969
Armyansk,Ukraine,Crimea,713203
Alushta,Ukraine,Crimea,713513
Ugep,Nigeria,Cross River,2320831
Ogoja,Nigeria,Cross River,2327650
Obudu,Nigeria,Cross River,2328151
Ikom,Nigeria,Cross River,2338242
Calabar,Nigeria,Cross River,2346229
Szeged,Hungary,Csongrád,715429
Makó,Hungary,Csongrád,717902
Hódmezővásárhely,Hungary,Csongrád,719965
Csongrád,Hungary,Csongrád,721592
Menongue,Angola,Cuando Cobango,3347353
N’dalatando,Angola,Cuanza Norte,2239076
Zipaquirá,Colombia,Cundinamarca,3665542
Villeta,Colombia,Cundinamarca,3665895
Villa de San Diego de Ubaté,Colombia,Cundinamarca,3666519
Soacha,Colombia,Cundinamarca,3667905
Silvania,Colombia,Cundinamarca,3668028
Sibaté,Colombia,Cundinamarca,3668087
Puerto Salgar,Colombia,Cundinamarca,3671330
Pacho,Colombia,Cundinamarca,3673424
Mosquera,Colombia,Cundinamarca,3674292
Madrid,Colombia,Cundinamarca,3675707
La Mesa,Colombia,Cundinamarca,3678405
Guaduas,Colombia,Cundinamarca,3681702
Girardot City,Colombia,Cundinamarca,3682028
Fusagasugá,Colombia,Cundinamarca,3682274
Funza,Colombia,Cundinamarca,3682281
Facatativá,Colombia,Cundinamarca,3682516
Chía,Colombia,Cundinamarca,3686675
Cajicá,Colombia,Cundinamarca,3688006
San Martín,El Salvador,Cuscatlán,3583471
Cojutepeque,El Salvador,Cuscatlán,3586977
Yauri,Peru,Cusco,3925590
Sicuani,Peru,Cusco,3928679
Santa Ana,Peru,Cusco,3929295
Cusco,Peru,Cusco,3941584
Wanchaq,Peru,Cusco,12157056
Santiago,Peru,Cusco,12157129
Owando,Republic of the Congo,Cuvette,2255542
Cà Mau,Vietnam,Cà Mau,1586443
Tierralta,Colombia,Córdoba,3667158
San Carlos,Colombia,Córdoba,3669997
San Antero,Colombia,Córdoba,3670199
Sahagún,Colombia,Córdoba,3670419
Planeta Rica,Colombia,Córdoba,3672068
Montería,Colombia,Córdoba,3674453
Montelíbano,Colombia,Córdoba,3674470
Momil,Colombia,Córdoba,3674603
Lorica,Colombia,Córdoba,3676397
Cotorra,Colombia,Córdoba,3685724
Ciénaga de Oro,Colombia,Córdoba,3686272
Chinú,Colombia,Córdoba,3686540
Cereté,Colombia,Córdoba,3686922
Ayapel,Colombia,Córdoba,3689381
Olteniţa,Romania,Călărași,671832
Căuşeni,Moldova,Căuşeni,618120
Cēsis,Latvia,Cēsis Municipality,460570
Da Nang,Vietnam,Da Nang,1583992
Silvassa,India,Dadra and Nagar Haveli and Daman and Diu,1256259
Diu,India,Dadra and Nagar Haveli and Daman and Diu,1272502
Daman,India,Dadra and Nagar Haveli and Daman and Diu,1273618
Āmli,India,Dadra and Nagar Haveli and Daman and Diu,1278768
Daegu,South Korea,Daegu,1835329
Hwawŏn,South Korea,Daegu,1925943
Daejeon,South Korea,Daejeon,1835235
Makhachkala,Russia,Dagestan,532096
Kizlyar,Russia,Dagestan,547840
Kizilyurt,Russia,Dagestan,547849
Khasavyurt,Russia,Dagestan,550478
Kaspiysk,Russia,Dagestan,551847
Izberbash,Russia,Dagestan,554894
Derbent,Russia,Dagestan,566532
Dagestanskiye Ogni,Russia,Dagestan,567290
Buynaksk,Russia,Dagestan,570479
Belidzhi,Russia,Dagestan,828055
Dajabón,Dominican Republic,Dajabón,3508952
Ţalkhā,Egypt,Dakahlia,347591
Shirbīn,Egypt,Dakahlia,349114
Mīt Ghamr,Egypt,Dakahlia,352181
Minyat an Naşr,Egypt,Dakahlia,352344
‘Izbat al Burj,Egypt,Dakahlia,355392
Dikirnis,Egypt,Dakahlia,358172
Bilqās,Egypt,Dakahlia,358821
As Sinbillāwayn,Egypt,Dakahlia,359815
Al Maţarīyah,Egypt,Dakahlia,360716
Al Manzalah,Egypt,Dakahlia,360754
Al Manşūrah,Egypt,Dakahlia,360761
Al Jammālīyah,Egypt,Dakahlia,361029
Ajā,Egypt,Dakahlia,361702
Pikine,Senegal,Dakar,2246678
Dakar,Senegal,Dakar,2253354
N’diareme limamoulaye,Senegal,Dakar,11101616
Nouadhibou,Mauritania,Dakhlet Nouadhibou,2377457
Ludvika,Sweden,Dalarna,2693759
Falun,Sweden,Dalarna,2715459
Borlänge,Sweden,Dalarna,2720383
Fāraskūr,Egypt,Damietta,356945
Damietta,Egypt,Damietta,358048
Az Zarqā,Egypt,Damietta,419435
Magomeni,Tanzania,Dar es Salaam,155321
Dar es Salaam,Tanzania,Dar es Salaam,160263
Ţafas,Syria,Daraa,163806
Shaykh Miskīn,Syria,Daraa,164328
Jāsim,Syria,Daraa,165997
Inkhil,Syria,Daraa,169375
Dar‘ā,Syria,Daraa,170905
Aş Şanamayn,Syria,Daraa,172469
Al Ḩirāk,Syria,Daraa,173819
Darhan,Mongolia,Darhan Uul,2031964
Darnah,Libya,Darnah,87205
Al Qubbah,Libya,Darnah,88835
Daugavpils,Latvia,Daugavpils,460413
Magugpo Poblacion,Philippines,Davao,1684269
Santa Maria,Philippines,Davao,1688058
San Mariano,Philippines,Davao,1689087
Samal,Philippines,Davao,1690666
Panabo,Philippines,Davao,1695804
New Corella,Philippines,Davao,1697773
Nabunturan,Philippines,Davao,1698887
Monkayo,Philippines,Davao,1699323
Mati,Philippines,Davao,1700360
Manay,Philippines,Davao,1702032
Malita,Philippines,Davao,1702649
Magsaysay,Philippines,Davao,1703773
Lupon,Philippines,Davao,1704968
Digos,Philippines,Davao,1714956
Davao,Philippines,Davao,1715348
Compostela,Philippines,Davao,1717053
Cabayangan,Philippines,Davao,1721695
Bansalan,Philippines,Davao,1727080
Yylanly,Turkmenistan,Daşoguz,601432
Tagta,Turkmenistan,Daşoguz,601475
Köneürgench,Turkmenistan,Daşoguz,601608
Boldumsaz,Turkmenistan,Daşoguz,601661
Daşoguz,Turkmenistan,Daşoguz,601734
Debar,North Macedonia,Debar,791606
Mendefera,Eritrea,Debub,344901
Dededo Village,Guam,Dededo,4043909
Subaykhān,Syria,Deir ez-Zor,164025
Deir ez-Zor,Syria,Deir ez-Zor,170794
Al Mayādīn,Syria,Deir ez-Zor,173480
Ālbū Kamāl,Syria,Deir ez-Zor,174448
Hajīn,Syria,Deir ez-Zor,174506
Bear,United States,Delaware,4141363
Dover,United States,Delaware,4142290
Middletown,United States,Delaware,4143637
Newark,United States,Delaware,4143861
Wilmington,United States,Delaware,4145381
Delcevo,North Macedonia,Delchevo,791559
New Delhi,India,Delhi,1261481
Narela,India,Delhi,1261809
Nāngloi Jāt,India,Delhi,1261913
Najafgarh,India,Delhi,1262111
Karol Bāgh,India,Delhi,1267696
Delhi,India,Delhi,1273294
Bawāna,India,Delhi,1276663
Alīpur,India,Delhi,1279005
Deoli,India,Delhi,10263232
Rohini,India,Delhi,12069922
Warri,Nigeria,Delta,2319133
Ughelli,Nigeria,Delta,2320829
Sapele,Nigeria,Delta,2323675
Ogwashi-Uku,Nigeria,Delta,2327513
Kwale,Nigeria,Delta,2332871
Burutu,Nigeria,Delta,2346317
Asaba,Nigeria,Delta,2349276
Agbor,Nigeria,Delta,2351979
